,bgm,bpm,genre,language,public_time,attitude,emotion,match,like_time,unlike_time
19,Groove Coverage - She (Radio Edit),103.359375,Dance,英语,2008-03-15,positive,happy,0,0,0
20,Ice Paper - 心如止水,129.19921875,Pop,国语,2019-04-18,positive,happy,0,0,0
21,I·D·C - 想对你说情话,99.38401442307692,Rap/HipHop,国语,2018-08-30,negative,happy,0,0,0
22,i黄小依 - Shy,92.28515625,pop,,,,happy,0,0,0
23,Jain - Lil Mama,99.38401442307692,Pop,英语,2015-11-06,negative,happy,0,0,0
24,joysaaaa - 两点半,112.34714673913044,Pop,国语,2019-01-17,positive,happy,0,0,0
25,KT、Chiu Chiu - 7538 (Me U-Remix),89.10290948275862,hiphop,,,,happy,0,0,0
26,Leessang (리쌍) _ Ali (알리) - 내가 웃는게 아니야 (我不是在笑),83.35433467741936,Rap/HipHop,韩语,2005-10-13,negative,happy,0,0,0
27,Lil Ghost小鬼 - GOOD NIGHT,78.30255681818181,Rap/HipHop,国语,2018-03-02,negative,happy,0,0,0
28,Little Mix _ Charlie Puth - Oops,103.359375,Pop,英语,2016-11-18,,happy,0,0,0
29,Mark Ronson _ Bruno Mars - Uptown Funk,117.45383522727272,Pop,英语,2015-04-13,positive,happy,0,0,0
30,RADWIMPS - 夢灯籠,172.265625,Soundtrack,日语,2016-08-24,negative,happy,0,0,0
31,S.H.E - 恋人未满,117.45383522727272,R&B,国语,2001-09-11,negative,happy,0,0,0
32,Samuel - What Do You Mean#,123.046875,hiphop,,,,happy,0,0,0
33,Taylor Swift - Lover (Live From Paris),67.99958881578948,rock,,,,happy,0,0,0
34,Ykey、Pro-Z - 到我怀里,99.38401442307692,Pop,国语,2018-02-13,negative,happy,0,0,0
35,Young 7 - 幸运女孩,99.38401442307692,Pop,国语,2018-11-13,positive,happy,0,0,0
36,Бамбинтон - Зая,117.45383522727272,Pop,俄语,2017-02-17,positive,happy,0,0,0
37,一口甜 - 圈住你,99.38401442307692,Pop,国语,2019-06-12,,happy,0,0,0
38,一口甜 - 慢慢等 (合唱版),129.19921875,Pop,国语,2020-01-16,,happy,0,0,0
39,一口甜、二辰 - 靠近,103.359375,hiphop,国语,2019-12-18,positive,happy,0,0,0
40,丁丁 - 爱要坦荡荡 (Live),123.046875,Pop,国语,2015-02-11,positive,happy,0,0,0
41,丁芙妮 - 只是太爱你,129.19921875,Pop,国语,2019-04-03,negative,happy,0,0,0
42,丫蛋蛋(马启涵)、沈虫虫 - 2018好嗨呦 (Live),103.359375,rock,,,,happy,0,0,0
43,任然 - 无人之岛,135.99917763157896,Pop,国语,2017-08-31,positive,happy,0,0,0
44,伍佰 & China Blue - Last Dance,151.9990808823529,blues,国语,1996-06-01,positive,happy,0,0,0
45,伍佰 - 挪威的森林,135.99917763157896,Pop,国语,2002-11-22,positive,happy,0,0,0
46,余佳运 - 我想,73.828125,Pop,国语,2017-03-06,positive,happy,0,0,0
47,冯提莫 - 小永远,95.703125,country,,,,happy,0,0,0
48,冼宇超、柒朵墨 - 薄荷色夏天,123.046875,hiphop,,,,happy,0,0,0
49,凤凰传奇 - 奢香夫人,83.35433467741936,Pop,国语,2009-06-02,positive,happy,0,0,0
50,刀郎 - 西海情歌,151.9990808823529,Pop,国语,2006-09-21,,happy,0,0,0
51,刘佳 - 爱的就是你,92.28515625,Pop,国语,2017-11-13,positive,happy,0,0,0
52,刘佳、十二星宿 风之少年 - 爱的就是你,92.28515625,Pop,国语,2017-11-13,positive,happy,0,0,0
53,刘德华 - 17岁,80.74951171875,Pop,粤语,2003-06-05,positive,happy,0,0,0
